const,Neighborhood_Crawfor,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_StoneBr,Neighborhood_Veenker,Condition2_PosN,Exterior1st_BrkFace,Fireplaces,GarageArea,OverallQual,OverallCond,GarageCars,TotRmsAbvGrd,OverallQual * LotArea,YearBuilt * TotRmsAbvGrd,OverallQual**2
1.0,0,0,0,0,0,0,0,0,548,7,5,2,8,59150,16024,49
1.0,0,0,0,0,1,0,0,1,460,6,8,2,6,57600,11856,36
1.0,0,0,0,0,0,0,0,1,608,7,5,2,6,78750,12006,49
1.0,1,0,0,0,0,0,0,1,642,7,5,3,7,66850,13405,49
1.0,0,1,0,0,0,0,0,1,836,8,5,3,9,114080,18000,64
1.0,0,0,0,0,0,0,0,0,480,5,5,2,5,70575,9965,25
1.0,0,0,0,0,0,0,0,1,636,8,5,2,7,80672,14028,64
1.0,0,0,0,0,0,0,0,2,484,7,6,2,7,72674,13811,49
1.0,0,0,0,0,0,0,1,2,468,7,5,2,8,42840,15448,49
1.0,0,0,0,0,0,0,0,2,205,5,6,1,5,37100,9695,25
1.0,0,0,0,0,0,0,0,0,384,5,5,1,5,56000,9825,25
1.0,0,0,1,0,0,0,0,2,736,9,5,3,11,107316,22055,81
1.0,0,0,0,0,0,0,0,0,352,5,6,1,4,64840,7848,25
1.0,0,0,0,0,0,0,0,1,840,7,5,3,7,74564,14042,49
1.0,0,0,0,0,0,0,0,1,352,6,5,1,5,65520,9800,36
1.0,0,0,0,0,0,0,0,0,576,7,8,2,5,42840,9645,49
1.0,0,0,0,0,0,0,0,1,480,6,7,2,5,67446,9850,36
1.0,0,0,0,0,0,0,0,0,516,4,5,2,6,43164,11802,16
1.0,0,0,0,0,0,0,0,0,576,5,5,2,6,68475,12024,25
1.0,0,0,0,0,0,0,1,0,294,5,6,1,6,37800,11748,25
1.0,0,0,1,0,0,0,0,1,853,8,5,3,9,113720,18045,64
1.0,0,0,0,0,0,0,0,1,280,7,7,1,6,52143,11580,49
1.0,0,0,0,0,0,0,0,1,534,8,5,2,7,77936,14014,64
1.0,0,0,0,0,0,0,0,1,572,5,7,2,6,21120,11856,25
1.0,0,0,0,0,0,0,0,1,270,5,8,1,6,41230,11808,25
1.0,0,0,1,0,0,0,0,1,890,8,5,3,7,113840,14049,64
1.0,0,0,0,0,0,0,0,0,576,5,7,2,5,36000,9755,25
1.0,0,0,1,0,0,0,0,1,772,8,5,3,7,91824,14049,64
1.0,0,0,0,0,0,0,0,2,319,5,6,1,6,81605,11742,25
1.0,0,0,0,0,0,0,0,0,240,4,6,1,4,25296,7708,16
1.0,0,0,0,0,0,0,1,0,250,4,4,1,6,34000,11520,16
1.0,0,0,0,0,0,0,0,0,271,5,6,1,6,42720,11796,25
1.0,0,0,0,0,0,0,0,0,484,8,5,2,7,88392,14049,64
1.0,0,0,0,0,0,0,1,1,447,5,5,2,6,52760,11754,25
1.0,0,0,1,0,0,0,0,1,556,9,5,2,6,65817,12030,81
1.0,0,0,1,0,0,0,0,1,691,8,5,3,9,107344,18036,64
1.0,0,0,0,0,0,0,0,0,672,5,5,2,6,54295,11964,25
1.0,0,0,0,0,0,0,0,1,498,5,6,2,5,42660,9770,25
1.0,0,0,0,0,0,0,0,0,246,5,7,1,5,39610,9765,25
1.0,0,0,0,0,0,0,0,1,440,6,5,2,6,51948,11790,36
1.0,0,0,0,0,0,0,0,2,308,5,6,1,5,84525,9795,25
1.0,0,0,0,0,0,0,0,0,504,5,7,2,5,45900,9915,25
1.0,0,0,0,0,0,0,0,0,308,5,6,1,5,46000,9875,25
1.0,0,0,0,0,0,0,1,0,300,5,6,1,6,39725,11754,25
1.0,0,0,1,0,0,0,0,1,576,9,5,2,6,68922,12030,81
1.0,0,0,0,0,0,0,0,1,670,7,5,2,6,89754,12018,49
1.0,0,0,0,0,0,0,0,0,826,8,5,3,7,88768,14042,64
1.0,0,0,0,0,0,0,0,0,386,5,7,1,6,38710,11796,25
1.0,0,0,0,0,0,0,0,0,388,6,6,2,6,83214,11982,36
1.0,0,0,0,0,0,0,0,1,528,6,6,2,6,37440,11604,36
1.0,0,0,0,0,0,0,0,0,516,5,5,2,5,42360,9815,25
1.0,0,0,0,0,1,0,0,1,894,9,5,3,5,452439,9905,81
1.0,0,0,0,0,0,0,0,1,572,5,5,2,6,35670,11730,25
1.0,0,0,0,0,0,0,0,1,576,6,5,2,7,61050,13748,36
1.0,0,0,0,0,0,0,0,0,480,8,5,2,7,21160,13993,64
1.0,0,0,0,0,0,0,0,0,565,7,5,2,7,81515,14028,49
1.0,0,0,0,1,0,0,0,1,641,10,5,3,10,136820,20060,100
1.0,0,0,0,0,0,0,0,0,352,5,7,1,4,36000,7888,25
1.0,0,0,0,0,0,0,0,0,576,6,5,2,5,78432,10020,36
1.0,0,0,0,0,0,0,0,0,288,5,7,1,6,36000,11520,25
1.0,0,0,1,0,0,0,0,1,484,8,5,2,6,51536,12036,64
1.0,0,0,0,0,0,0,0,0,480,7,6,2,9,72100,17289,49
1.0,0,0,0,0,0,0,0,0,645,7,5,2,8,65625,15976,49
1.0,0,0,1,0,0,0,0,1,852,8,5,3,9,76728,18036,64
1.0,0,0,0,0,0,0,0,1,576,7,5,2,7,139300,13790,49
1.0,0,0,0,0,0,0,0,0,558,7,5,2,7,74655,14021,49
1.0,0,0,0,0,0,0,0,0,220,4,6,1,4,18432,7780,16
1.0,0,0,0,0,0,0,1,1,667,7,4,2,7,109151,13671,49
1.0,0,0,0,0,0,0,0,2,516,7,6,2,8,95557,15784,49
1.0,0,0,0,0,0,0,0,0,360,4,6,2,4,30396,7928,16
1.0,0,0,0,0,0,0,0,1,427,7,5,2,7,70987,13986,49
1.0,0,0,0,0,0,0,0,0,490,5,7,2,6,51000,11724,25
1.0,0,0,0,0,0,0,0,0,379,3,6,1,8,17370,15320,9
1.0,0,0,0,0,0,0,0,0,297,4,5,1,5,6384,9865,16
1.0,0,0,0,0,0,0,0,0,283,4,7,1,4,33900,7824,16
1.0,0,0,0,0,0,0,0,0,240,5,5,1,6,43175,11688,25
1.0,0,0,0,0,0,0,0,0,440,5,6,2,5,52200,9550,25
1.0,0,0,0,0,0,0,0,1,509,6,6,1,8,78000,15744,36
1.0,0,0,0,0,0,0,0,0,405,6,5,2,5,27000,9990,36
1.0,0,0,0,0,0,0,0,1,758,8,5,3,6,81648,12042,64
1.0,0,0,0,0,0,0,0,0,461,5,5,2,6,44460,11760,25
1.0,0,0,0,0,0,0,0,1,400,7,5,2,7,59710,13965,49
1.0,0,1,0,0,0,0,0,1,462,8,5,2,9,128472,17919,64
1.0,0,0,0,0,0,0,0,1,400,6,5,2,6,71466,12030,36
1.0,0,0,0,0,0,0,0,0,528,6,5,2,4,23706,8036,36
1.0,0,0,0,0,0,0,1,0,420,4,5,2,4,28800,7800,16
1.0,0,0,0,0,0,0,0,0,480,5,3,2,6,42500,11766,25
1.0,1,0,0,0,0,0,0,0,432,5,7,2,5,66800,9605,25
1.0,0,0,0,0,0,0,0,1,506,6,6,2,9,43200,17190,36
1.0,0,0,0,0,0,0,0,0,684,6,5,2,7,56022,13979,36
1.0,0,0,0,0,0,0,0,1,420,6,8,2,6,58590,11958,36
1.0,0,0,0,0,0,0,0,0,472,7,5,2,6,71848,11994,49
1.0,0,0,0,0,0,0,0,0,432,4,5,1,6,43684,11790,16
1.0,0,0,0,0,0,0,0,0,366,5,5,1,5,53125,9600,25
1.0,0,0,0,0,0,0,0,2,480,6,7,2,6,63618,11862,36
1.0,0,0,0,0,0,0,0,1,476,6,5,2,7,55236,13895,36
1.0,0,0,0,0,0,0,0,0,410,5,5,2,8,35090,15832,25
1.0,0,0,0,0,0,0,0,0,740,7,5,3,6,72814,12054,49
1.0,0,0,0,0,0,0,0,2,240,7,4,1,7,54306,13517,49
1.0,0,0,0,0,0,0,0,1,648,8,5,2,9,75000,18027,64
1.0,0,0,0,0,0,0,0,0,273,4,7,1,6,43200,11310,16
1.0,0,0,0,0,0,0,0,0,250,5,5,1,5,30000,9740,25
1.0,0,0,0,0,0,0,0,1,546,6,6,2,7,70506,13839,36
1.0,0,0,0,0,0,0,0,0,325,6,4,1,7,57150,13678,36
1.0,0,0,0,0,0,0,0,1,400,7,5,2,7,54250,14000,49
1.0,0,0,0,0,0,0,0,1,792,7,5,3,10,69755,20070,49
1.0,1,0,0,0,0,0,0,2,450,6,5,2,7,126000,13671,36
1.0,1,0,0,0,0,0,0,1,180,6,8,1,9,43554,17505,36
1.0,0,0,0,0,0,0,0,1,440,6,5,2,5,19380,9995,36
1.0,0,0,0,0,0,0,0,1,288,5,5,1,6,58080,11772,25
1.0,0,0,0,0,0,0,0,0,430,5,5,2,5,42680,10030,25
1.0,0,0,0,0,0,0,0,2,594,7,5,3,11,86632,21890,49
1.0,0,0,0,0,0,0,0,1,390,6,5,2,8,50766,16040,36
1.0,0,0,0,0,0,0,0,2,540,6,5,2,4,128718,7876,36
1.0,0,0,0,0,0,0,0,0,264,4,5,1,4,24240,7756,16
1.0,0,0,0,0,0,0,0,0,288,6,7,1,5,56784,9790,36
1.0,0,0,0,0,0,0,0,0,530,6,5,2,5,47352,9965,36
1.0,0,0,0,0,0,0,0,1,435,6,5,2,7,102258,13853,36
1.0,0,0,0,0,0,0,0,1,440,6,5,2,5,29568,9880,36
1.0,0,0,0,0,0,0,0,1,453,6,5,2,6,45540,11796,36
1.0,0,0,0,0,0,0,0,0,750,5,7,2,6,44865,11748,25
1.0,0,0,0,0,0,0,0,2,487,7,6,2,8,99400,15728,49
1.0,0,0,0,0,0,0,0,1,390,6,5,2,7,73344,14000,36
1.0,0,0,0,0,0,0,0,0,624,5,6,2,7,36940,13713,25
1.0,0,0,0,0,0,0,0,0,471,8,5,2,6,54824,12006,64
1.0,0,0,0,0,0,0,0,1,440,5,6,2,7,51675,13776,25
1.0,0,0,0,0,0,0,0,1,530,7,6,2,7,72800,13790,49
1.0,0,0,0,0,0,0,0,1,318,5,5,1,5,51775,9835,25
1.0,0,0,0,0,0,0,0,0,766,7,5,3,9,77490,17892,49
1.0,0,0,0,0,0,0,0,2,660,8,5,3,7,72528,13993,64
1.0,0,0,0,0,0,0,0,0,470,6,5,2,7,92556,13979,36
1.0,0,0,0,0,0,0,0,0,660,7,5,2,7,81515,14035,49
1.0,0,0,0,0,0,0,1,0,720,5,4,2,6,42600,11712,25
1.0,0,0,0,0,0,0,0,0,577,7,5,2,6,72345,11994,49
1.0,0,0,0,0,0,0,0,0,504,5,5,2,10,45500,19630,25
1.0,0,0,0,0,0,0,0,0,380,6,5,2,7,15132,14028,36
1.0,0,0,0,0,0,0,0,0,180,5,7,1,5,30600,9655,25
1.0,0,0,0,0,0,0,0,1,434,7,5,2,8,66535,16008,49
1.0,0,0,0,0,0,0,0,0,240,5,4,1,7,31200,13552,25
1.0,0,0,0,0,0,0,0,0,440,5,6,2,5,51780,9875,25
1.0,0,0,1,0,0,0,0,1,866,8,5,3,6,111128,12042,64
1.0,0,0,0,0,0,0,0,1,495,6,5,2,8,88818,15768,36
1.0,0,0,0,0,0,0,1,1,564,6,7,2,4,81000,7840,36
1.0,0,0,0,0,0,0,0,0,312,6,5,1,7,68040,13461,36
1.0,0,0,0,0,0,0,0,0,625,5,7,2,5,36000,9750,25
1.0,0,0,0,0,0,0,0,1,680,8,5,3,8,96024,16072,64
1.0,0,0,0,0,0,0,0,1,678,7,5,2,8,87864,16032,49
1.0,0,0,0,0,0,0,0,1,576,7,5,2,9,135646,18045,49
1.0,0,0,0,0,1,0,0,0,516,6,6,2,6,66720,11904,36
1.0,0,0,1,0,0,0,0,2,726,9,5,3,10,123192,20030,81
1.0,0,0,1,0,0,0,0,1,532,7,5,2,7,85274,14035,49
1.0,0,0,0,0,0,0,0,0,216,6,7,1,5,32400,9630,36
1.0,0,0,0,0,0,0,0,3,303,5,5,1,7,53540,13685,25
1.0,0,0,1,0,0,0,0,1,789,8,5,3,8,84496,16056,64
1.0,0,0,0,0,0,0,0,1,440,7,5,2,7,57708,14028,49
1.0,0,0,0,0,0,0,0,1,511,8,6,2,6,133352,11886,64
1.0,0,0,0,0,0,0,0,0,660,5,6,2,7,61790,13587,25
1.0,0,0,0,0,0,0,1,2,528,6,5,2,7,190620,13720,36
1.0,0,0,0,1,0,0,0,1,504,7,7,2,5,37142,9935,49
1.0,0,0,0,0,0,0,0,1,504,6,5,2,6,61182,11766,36
1.0,0,0,0,0,0,0,0,1,616,6,5,2,7,74496,13902,36
1.0,0,0,0,0,0,0,0,1,576,6,7,2,7,75690,13650,36
1.0,0,0,0,0,0,0,0,1,521,6,5,2,8,60174,15904,36
1.0,0,0,0,0,0,0,0,1,451,5,5,2,8,68250,15664,25
1.0,0,0,0,1,0,0,0,1,1166,9,5,3,9,156807,18072,81
1.0,0,0,0,0,0,0,0,0,480,5,6,2,5,42600,9615,25
1.0,0,0,0,0,0,0,0,1,440,6,5,2,5,12702,10000,36
1.0,1,0,0,0,0,0,0,1,216,7,6,1,9,53116,17280,49
1.0,0,0,0,0,0,0,0,1,252,5,6,1,7,45300,13699,25
1.0,0,0,0,0,0,0,0,0,484,7,5,2,6,79982,12018,49
1.0,0,0,0,0,0,0,0,0,576,5,8,2,5,37190,9540,25
1.0,0,0,0,0,0,0,0,2,840,10,9,3,12,229500,22704,100
1.0,0,0,0,0,0,0,0,0,497,7,5,2,6,69629,11940,49
1.0,0,0,0,0,0,0,0,0,180,5,7,1,8,52050,15328,25
1.0,0,0,0,0,0,0,0,2,528,5,5,2,6,35090,11874,25
1.0,0,0,0,1,0,0,0,1,682,8,5,2,5,39384,10005,64
1.0,1,0,0,0,0,0,1,2,440,8,8,2,10,84560,19320,64
1.0,0,0,0,0,0,0,0,0,484,7,9,2,7,52304,13804,49
1.0,0,0,0,0,0,0,0,0,666,7,5,2,6,63119,11994,49
1.0,0,0,0,0,0,0,0,0,380,7,5,2,7,17654,14028,49
1.0,0,0,0,0,0,0,0,0,352,5,7,1,5,35900,9860,25
1.0,0,0,0,0,0,0,0,1,440,6,6,2,7,13680,13832,36
1.0,0,0,0,0,0,0,0,1,786,7,5,3,8,65912,16056,49
1.0,0,0,0,0,0,0,0,1,795,8,4,2,8,203352,15344,64
1.0,0,0,1,0,0,0,0,1,856,8,5,3,7,76728,14028,64
1.0,0,0,0,0,0,0,0,0,440,4,5,2,5,34184,10015,16
1.0,0,0,0,0,0,0,0,2,473,6,6,2,6,60750,11862,36
1.0,0,0,0,0,0,0,0,0,398,6,6,1,6,42000,11544,36
1.0,0,0,0,0,0,0,0,1,420,6,5,2,3,26628,6012,36
1.0,0,0,0,0,0,0,0,0,240,5,7,1,5,17500,9735,25
1.0,0,0,0,0,0,0,0,0,500,7,5,2,5,82957,9950,49
1.0,0,0,0,0,0,0,0,1,349,5,5,1,8,68365,15696,25
1.0,0,0,0,0,0,0,0,1,312,4,5,1,6,49972,11760,16
1.0,0,0,0,0,0,0,0,1,454,7,5,2,7,100548,13916,49
1.0,0,0,0,0,0,0,0,0,504,6,7,2,6,49500,11784,36
1.0,0,0,0,0,0,0,0,0,460,6,5,2,6,62520,12054,36
1.0,0,0,0,0,0,0,0,1,644,7,5,2,7,60480,14063,49
1.0,0,0,0,0,0,0,0,0,576,5,5,2,5,67840,9975,25
1.0,0,0,0,0,0,0,0,0,299,6,7,1,6,65400,11862,36
1.0,0,0,0,0,0,0,0,1,447,5,6,1,6,50055,11742,25
1.0,0,0,0,0,0,0,0,0,484,7,5,2,8,59150,16032,49
1.0,0,0,0,0,0,0,0,0,210,4,4,1,8,39624,15400,16
1.0,1,0,0,0,0,0,0,2,431,7,9,2,8,109620,15512,49
1.0,0,0,0,0,0,0,0,0,438,7,5,2,5,21070,10025,49
1.0,0,0,0,0,0,0,0,0,675,7,5,2,5,62930,10030,49
1.0,0,0,0,0,0,0,0,1,390,6,5,2,8,48408,16016,36
1.0,0,0,0,0,0,0,0,1,434,6,6,2,6,68850,11850,36
1.0,0,0,0,0,0,0,0,0,576,4,6,2,4,42000,7884,16
1.0,0,0,1,0,0,0,0,1,968,10,5,3,8,134720,16024,100
1.0,0,0,0,0,0,0,0,0,280,5,5,1,6,8400,11826,25
1.0,0,1,0,0,0,0,0,1,721,7,5,3,9,69650,17955,49
1.0,0,0,0,0,0,0,0,0,280,6,6,1,5,11214,9850,36
1.0,0,0,0,0,0,0,0,1,336,5,5,1,5,42605,9835,25
1.0,0,0,0,0,0,0,0,1,430,7,5,2,7,22274,14035,49
1.0,0,0,0,0,0,0,0,0,312,6,6,1,6,52560,11754,36
1.0,0,1,0,0,0,0,0,1,810,8,5,3,9,121104,17955,64
1.0,0,0,0,0,0,0,0,1,288,6,5,1,5,10080,9860,36
1.0,0,0,0,0,0,0,0,0,308,5,6,1,5,53250,9880,25
1.0,0,0,0,0,0,0,0,2,440,6,5,2,8,47106,16016,36
1.0,0,0,0,0,0,0,0,0,264,6,3,1,5,10080,9855,36
1.0,0,0,0,0,0,0,0,0,494,7,5,2,6,61411,12024,49
1.0,0,0,0,0,0,0,0,0,457,7,7,2,7,66171,13951,49
1.0,0,0,1,0,0,0,0,0,818,8,5,3,7,96240,14049,64
1.0,0,0,0,0,0,0,0,1,220,6,4,1,7,52446,13615,36
1.0,0,0,0,0,0,0,0,0,750,8,5,2,7,72000,14056,64
1.0,0,0,0,0,0,0,0,0,352,5,4,1,6,25000,11400,25
1.0,0,0,0,0,0,0,0,1,288,6,6,1,6,64572,11880,36
1.0,0,0,0,0,0,0,0,2,463,7,5,2,8,62160,15952,49
1.0,0,0,0,0,0,0,0,1,604,7,5,2,6,72800,11928,49
1.0,0,0,0,0,0,0,0,0,440,6,8,1,9,54852,17190,36
1.0,0,0,0,0,0,0,0,1,451,6,5,2,5,67860,9770,36
1.0,0,0,0,0,0,0,0,0,500,7,5,2,8,79219,16024,49
1.0,0,0,0,0,0,0,0,2,389,6,7,2,7,954000,13706,36
1.0,1,0,0,0,0,0,0,1,538,8,5,2,5,38000,10030,64
1.0,0,0,0,0,0,0,0,0,520,6,5,2,6,50196,12024,36
1.0,0,0,0,0,0,0,0,0,309,6,7,1,7,56100,13748,36
1.0,0,0,0,0,0,0,0,0,294,5,6,1,5,42000,9785,25
1.0,0,0,0,0,0,0,0,1,429,7,5,2,8,61166,15992,49
1.0,0,0,0,0,0,0,0,0,673,6,5,2,7,52746,14021,36
1.0,0,0,0,0,0,0,0,1,660,7,5,2,8,61698,16048,49
1.0,0,0,0,0,0,0,0,1,564,7,5,2,7,87045,14007,49
1.0,0,0,0,0,0,0,1,0,308,5,5,1,4,63510,7824,25
1.0,0,0,0,0,0,0,0,1,884,6,5,2,6,115776,11772,36
1.0,0,0,0,0,0,0,0,1,868,8,5,3,10,76704,20070,64
1.0,0,0,0,0,0,0,0,1,492,6,7,2,6,50826,11862,36
1.0,0,0,0,0,0,0,0,0,484,5,7,2,6,27500,11574,25
1.0,0,0,0,0,0,0,0,0,504,5,5,2,4,26160,7700,25
1.0,0,0,0,0,0,0,0,1,576,6,6,2,7,72540,13867,36
1.0,0,0,0,0,0,0,0,1,413,6,5,2,8,67242,15976,36
1.0,0,0,0,0,0,0,0,1,240,5,8,1,8,42000,15512,25
1.0,0,0,0,0,0,0,0,1,924,5,6,1,4,34500,7760,25
1.0,0,0,0,0,0,0,0,1,504,6,7,1,6,47502,11856,36
1.0,0,0,0,0,0,0,0,1,1053,8,5,3,8,85824,16048,64
1.0,0,0,0,0,0,0,0,2,439,7,7,2,5,273728,9770,49
1.0,0,1,0,0,0,0,0,1,671,8,7,3,9,94112,17991,64
1.0,0,0,0,0,0,0,0,1,338,6,6,1,6,57600,11748,36
1.0,0,0,0,0,0,0,0,0,264,5,7,1,5,41570,9910,25
1.0,0,0,0,0,0,0,0,0,672,7,7,2,5,50848,9625,49
1.0,0,0,0,0,0,0,0,0,573,7,5,2,7,64372,14021,49
1.0,0,0,0,0,0,0,0,0,400,4,5,2,4,76552,7804,16
1.0,0,0,1,0,0,0,0,1,732,9,5,3,8,130050,16048,81
1.0,0,0,0,0,0,0,0,1,505,7,5,2,8,70035,15816,49
1.0,0,0,0,0,0,0,0,1,575,7,6,2,7,79009,13923,49
1.0,0,0,0,0,0,0,0,0,572,6,5,2,5,43200,10030,36
1.0,0,0,1,0,0,0,0,1,626,7,5,2,6,35441,12042,49
1.0,0,0,0,0,0,0,0,1,898,8,5,3,6,76896,12048,64
1.0,0,0,0,0,0,0,0,0,529,6,5,2,5,48072,9960,36
1.0,0,0,0,0,0,0,0,0,528,7,5,2,5,29757,10030,49
1.0,0,0,0,0,0,0,0,1,440,6,7,2,7,58716,13734,36
1.0,0,0,0,0,0,0,0,0,280,5,5,1,5,49095,9835,25
1.0,0,0,0,0,0,0,0,0,384,6,7,1,7,52380,13405,36
1.0,0,0,0,0,0,0,0,1,685,8,5,2,8,124888,16048,64
1.0,0,0,0,0,0,0,0,1,281,5,4,1,8,57045,15592,25
1.0,0,0,0,0,0,0,0,1,539,7,7,2,9,116613,17793,49
1.0,0,0,0,0,0,0,0,2,418,6,5,2,7,57600,13671,36
1.0,0,0,0,0,0,0,0,0,588,6,6,2,6,47622,11904,36
1.0,0,0,0,0,0,0,0,0,282,5,5,1,6,68550,11700,25
1.0,0,0,0,0,0,0,0,1,576,7,5,2,7,51793,13979,49
1.0,0,0,0,0,0,0,0,1,539,6,6,2,7,70200,13776,36
1.0,1,0,0,0,0,0,0,1,300,6,8,1,6,84000,11700,36
1.0,1,0,0,0,0,0,0,2,375,5,5,1,5,78750,9765,25
1.0,0,0,0,0,0,0,0,1,683,8,5,2,9,129808,17982,64
1.0,0,0,0,0,0,0,0,1,843,7,5,3,6,95928,12006,49
1.0,0,0,0,0,0,0,0,0,552,5,7,2,5,49000,9860,25
1.0,0,0,0,0,0,0,0,1,870,7,9,3,10,128702,18800,49
1.0,0,0,0,0,0,0,0,0,888,8,5,3,8,83088,16032,64
1.0,0,0,0,0,0,0,0,1,746,7,5,3,8,94318,15920,49
1.0,0,0,0,0,0,0,0,0,539,4,5,2,4,49368,7760,16
1.0,0,0,1,0,0,0,0,3,708,9,5,3,8,111402,16024,81
1.0,0,0,0,0,0,0,0,1,420,6,5,2,6,46110,11958,36
1.0,0,0,0,0,0,0,0,1,240,6,6,1,5,48000,9740,36
1.0,0,0,0,0,0,0,0,1,410,5,7,2,5,39000,9695,25
1.0,0,0,0,0,0,0,1,2,513,7,5,2,8,1506715,15720,49
1.0,0,0,0,0,0,0,0,1,546,7,7,2,6,67200,11550,49
1.0,0,0,0,0,0,0,0,1,432,7,5,2,6,54565,12024,49
1.0,0,0,0,0,0,0,0,1,484,7,7,2,10,91035,19800,49
1.0,0,0,0,0,0,0,0,1,1025,8,5,3,8,72000,16048,64
1.0,0,1,0,0,0,0,0,1,656,7,5,3,9,69300,17937,49
1.0,0,0,0,0,0,0,0,2,588,7,5,2,6,98805,11880,49
1.0,0,0,1,0,0,0,0,0,840,9,5,3,9,146331,18054,81
1.0,0,0,1,0,0,0,0,1,872,8,5,3,10,96792,20040,64
1.0,0,0,0,0,0,0,0,1,576,7,5,2,8,72660,15888,49
1.0,0,0,0,0,0,0,0,0,220,3,8,1,6,17460,11730,9
1.0,0,0,0,0,0,0,0,1,564,7,7,2,11,78925,21637,49
1.0,0,0,0,0,0,0,0,0,360,5,6,2,5,25000,9705,25
1.0,0,0,0,0,1,0,1,2,473,8,5,2,6,86768,11958,64
1.0,0,0,0,0,0,0,0,0,292,6,5,1,7,69600,13720,36
1.0,0,0,0,0,0,0,0,0,441,6,6,2,10,71328,19160,36
1.0,0,0,0,0,0,0,0,0,189,5,5,1,6,32010,11520,25
1.0,0,0,0,0,0,0,0,0,352,5,4,1,10,53120,19640,25
1.0,0,0,0,0,0,0,0,0,308,5,6,1,6,40880,11748,25
1.0,0,0,1,0,0,0,0,1,880,8,5,3,7,85240,14021,64
1.0,0,0,1,0,0,0,0,1,484,7,5,2,6,57386,12024,49
1.0,0,0,0,0,0,0,0,2,472,6,5,2,7,54252,13986,36
1.0,0,0,0,0,0,0,0,2,529,5,6,2,7,823300,13755,25
1.0,0,0,0,1,0,0,0,1,676,9,5,3,8,127413,16040,81
1.0,0,0,0,0,0,0,0,0,532,7,5,2,7,63945,14014,49
1.0,0,0,0,0,0,0,0,0,440,7,7,2,8,99015,15872,49
1.0,0,0,0,0,0,0,0,0,297,6,7,1,6,74400,11748,36
1.0,0,0,0,0,0,0,0,0,431,8,5,2,9,113528,18018,64
1.0,0,0,0,0,0,0,0,0,294,4,4,1,4,33600,7800,16
1.0,0,0,0,0,0,0,0,0,400,3,4,2,6,25632,11694,9
1.0,0,0,1,0,0,0,0,1,564,9,5,2,6,79641,12030,81
1.0,0,0,0,0,0,0,0,0,336,5,3,1,4,12960,7904,25
1.0,0,0,0,0,0,0,0,1,312,6,5,1,6,38610,11634,36
1.0,0,0,0,0,0,0,0,0,301,6,8,1,5,76632,9800,36
1.0,0,0,0,0,0,0,0,2,498,6,5,2,6,105600,11760,36
1.0,0,0,1,0,0,0,0,0,474,7,5,2,6,17136,12018,49
1.0,0,0,1,0,0,0,0,2,706,9,5,3,10,183879,20050,81
1.0,0,0,1,0,0,0,0,1,617,9,5,2,6,70380,12042,81
1.0,0,0,0,0,0,0,0,1,445,7,5,2,6,36897,11916,49
1.0,0,0,0,0,0,0,0,0,200,5,6,1,5,45420,9705,25
1.0,0,0,0,0,0,0,0,0,484,6,8,2,5,51120,9640,36
1.0,0,0,0,0,0,0,0,2,240,6,5,1,6,50400,11640,36
1.0,0,0,0,0,0,0,0,0,521,6,5,2,6,67494,11970,36
1.0,0,0,0,0,0,0,0,0,400,6,6,2,6,55488,11952,36
1.0,0,0,0,0,0,0,0,1,528,5,5,2,6,21120,11856,25
1.0,0,0,0,0,0,0,0,0,288,5,4,1,6,34650,11748,25
1.0,0,1,0,0,0,0,0,1,592,8,5,2,7,96088,13986,64
1.0,0,0,0,0,0,0,0,1,470,6,6,2,5,45240,9890,36
